plateID,New Code,Pop Defined,State,State Name,Pop Names,EstuaryLocal,Latitude,Longitude
E05,BRHS06,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
E06,MaBH24,Barnstable Harbor,Massachusetts,Massachusetts,Barnstable Harbor,NA,41.70911,-70.30297
E07,BRLS19,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
E08,BBHS19,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
E09,BBHS10,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
E10,FlAM01,Amelia Island,Amelia Island,Florida,Amelia Island,NA,30.66833,-81.429888
E11,WBHS22,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
E12,BRHS13,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
E13,SHLS29,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,32.50119,-80.67869
E15,FlFP08,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,27.4575,-80.306
E16,WBHS34,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
E17,NcMV24,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
E18,CHLS19,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
F02,BBHS11,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
F03,SHLS19,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,32.50119,-80.67869
F04,FlAM03,Amelia Island,Amelia Island,Florida,Amelia Island,NA,30.66833,-81.429888
F09,FlAM09,Amelia Island,Amelia Island,Florida,Amelia Island,NA,30.66833,-81.429888
F11,NcMV04,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
F12,BBHS23,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
F13,MaWF10,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,41.909405,-69.997144
F14,NcMV31,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
F15,BRLS03,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
F16,CHHS26,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
F17,WBHS25,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
F18,BRHS22,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
G01,WBHS18,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
G02,BRLS02,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
G03,FlSB20,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,29.915834,-84.510613
G04,BBHS08,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
G05,BBHS12,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
G07,BRHS11,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
G08,SHHS24,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
G09,SHLS35,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,32.50119,-80.67869
G11,BRLS11,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
G12,BBHS13,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
G14,CHLS26,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
G15,NcFR07,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,35.527953,-77.040036
G16,SHHS26,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
G17,FlAM05,Amelia Island,Amelia Island,Florida,Amelia Island,NA,30.66833,-81.429888
G20,NcMV10,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
H01,CHLS06,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
H02,MaWF01,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,41.909405,-69.997144
H04,NcMV20,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
H05,CHLS15,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
H06,WBHS04,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
H07,FlFP10,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,27.4575,-80.306
H08,SHHS02,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
H09,NcMV44,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
H10,CHLS08,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
H11,SHLS09,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,32.50119,-80.67869
H12,FlFP04,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,27.4575,-80.306
H13,MaWF51,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,41.909405,-69.997144
H14,NcMV21,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
H15,CHLS28,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
H16,BBHS03,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
H17,CHLS05,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
H18,CHHS47,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
H19,NcFR10,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,35.527953,-77.040036
H20,SHHS19,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
I04,WBHS33,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
I05,MaWF50,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,41.909405,-69.997144
I07,CHLS07,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
I08,NcMV14,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
I09,CHHS40,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
I10,WBHS45,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
I11,SHHS25,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
I12,NcFR06,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,35.527953,-77.040036
I13,CHHS24,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
I14,CHHS13,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,32.75214,-79.89753
I16,SHHS10,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
I18,BRHS16,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
I19,FlFP09,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,27.4575,-80.306
J01,CHLS16,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
J04,FlFP07,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,27.4575,-80.306
