accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description
SAMN41062540	Successfully loaded	MaDB04			Diopatra cuprea	212			estuary	2009	USA:Duxbury Massachusetts	body														
SAMN41062541	Successfully loaded	NcMV43			Diopatra cuprea	213			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062542	Successfully loaded	BRLS10			Diopatra cuprea	214			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062543	Successfully loaded	CHHS16			Diopatra cuprea	215			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062544	Successfully loaded	MaWF52			Diopatra cuprea	216			estuary	2012	USA:Wellfleet Massachusetts	body														
SAMN41062545	Successfully loaded	CHHS48			Diopatra cuprea	217			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062546	Successfully loaded	VaWA07			Diopatra cuprea	218			estuary	2009	USA:Wachapreague Virginia	body														
SAMN41062547	Successfully loaded	CHLS04			Diopatra cuprea	219			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062548	Successfully loaded	MaWF56			Diopatra cuprea	220			estuary	2012	USA:Wellfleet Massachusetts	body														
SAMN41062549	Successfully loaded	WBHS44			Diopatra cuprea	221			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062550	Successfully loaded	FlSB08			Diopatra cuprea	222			estuary	2012	USA:St. Teresa Beach Florida	body														
SAMN41062551	Successfully loaded	WBHS36			Diopatra cuprea	223			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062552	Successfully loaded	CHLS29			Diopatra cuprea	224			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062553	Successfully loaded	FlSB17			Diopatra cuprea	225			estuary	2012	USA:St. Teresa Beach Florida	body														
SAMN41062554	Successfully loaded	BRLS18			Diopatra cuprea	226			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062555	Successfully loaded	FlFP03			Diopatra cuprea	227			estuary	2009	USA:Fort Pierce Florida	body														
SAMN41062556	Successfully loaded	SHLS26			Diopatra cuprea	228			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062557	Successfully loaded	CHLS30			Diopatra cuprea	229			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062558	Successfully loaded	WBHS56			Diopatra cuprea	230			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062559	Successfully loaded	BRHS20			Diopatra cuprea	231			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062560	Successfully loaded	FlSB09			Diopatra cuprea	232			estuary	2012	USA:St. Teresa Beach Florida	body														
SAMN41062561	Successfully loaded	SHHS06			Diopatra cuprea	233			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
