accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description
SAMN41062378	Successfully loaded	SHHS17			Diopatra cuprea	50			estuary	2009	USA:Beaufort North Carolina	body														
SAMN41062379	Successfully loaded	NcBE01			Diopatra cuprea	51			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062380	Successfully loaded	CHLS20			Diopatra cuprea	52			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062381	Successfully loaded	BRHS17			Diopatra cuprea	53			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062382	Successfully loaded	SHHS04			Diopatra cuprea	54			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062383	Successfully loaded	CHHS06			Diopatra cuprea	55			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062384	Successfully loaded	NcMV03			Diopatra cuprea	56			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062385	Successfully loaded	WBHS63			Diopatra cuprea	57			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062386	Successfully loaded	SHLS17			Diopatra cuprea	58			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062387	Successfully loaded	BRHS07			Diopatra cuprea	59			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062388	Successfully loaded	BBHS16			Diopatra cuprea	60			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062389	Successfully loaded	BRHS06			Diopatra cuprea	61			estuary	2009	USA:Barnstable Harbor Massachusetts	body														
SAMN41062390	Successfully loaded	MaBH24			Diopatra cuprea	62			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062391	Successfully loaded	BRLS19			Diopatra cuprea	63			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062392	Successfully loaded	BBHS19			Diopatra cuprea	64			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062393	Successfully loaded	BBHS10			Diopatra cuprea	65			estuary	2009	USA:Amelia Island Florida	body														
SAMN41062394	Successfully loaded	FlAM01			Diopatra cuprea	66			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062395	Successfully loaded	WBHS22			Diopatra cuprea	67			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062396	Successfully loaded	BRHS13			Diopatra cuprea	68			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062397	Successfully loaded	SHLS29			Diopatra cuprea	69			estuary	2009	USA:Fort Pierce Florida	body														
SAMN41062398	Successfully loaded	FlFP08			Diopatra cuprea	70			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062399	Successfully loaded	WBHS34			Diopatra cuprea	71			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062400	Successfully loaded	NcMV24			Diopatra cuprea	72			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062401	Successfully loaded	CHLS19			Diopatra cuprea	73			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062402	Successfully loaded	BBHS11			Diopatra cuprea	74			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062403	Successfully loaded	SHLS19			Diopatra cuprea	75			estuary	2009	USA:Amelia Island Florida	body														
SAMN41062404	Successfully loaded	FlAM03			Diopatra cuprea	76			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062405	Successfully loaded	FlAM09			Diopatra cuprea	77			estuary	2009	USA:Amelia Island Florida	body														
SAMN41062406	Successfully loaded	NcMV04			Diopatra cuprea	78			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062407	Successfully loaded	BBHS23			Diopatra cuprea	79			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062408	Successfully loaded	MaWF10			Diopatra cuprea	80			estuary	2012	USA:Wellfleet Massachusetts	body														
SAMN41062409	Successfully loaded	NcMV31			Diopatra cuprea	81			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062410	Successfully loaded	BRLS03			Diopatra cuprea	82			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062411	Successfully loaded	CHHS26			Diopatra cuprea	83			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062412	Successfully loaded	WBHS25			Diopatra cuprea	84			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062413	Successfully loaded	BRHS22			Diopatra cuprea	85			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062414	Successfully loaded	WBHS18			Diopatra cuprea	86			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062415	Successfully loaded	BRLS02			Diopatra cuprea	87			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062416	Successfully loaded	FlSB20			Diopatra cuprea	88			estuary	2012	USA:St. Teresa Beach Florida	body														
SAMN41062417	Successfully loaded	BBHS08			Diopatra cuprea	89			estuary	2022	USA:Bulls Bay South Carolina	body														
