plateID,New Code,Pop Defined,State,State Name,Pop Names,EstuaryLocal,mtHaplotype,mtHap Group,mtHap Subgroup
E05,BRHS06,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
E06,MaBH24,Barnstable Harbor,Massachusetts,Massachusetts,Barnstable Harbor,NA,NA,NA,NA
E07,BRLS19,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
E08,BBHS19,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
E09,BBHS10,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
E10,FlAM01,Amelia Island,Amelia Island,Florida,Amelia Island,NA,NA,NA,NA
E11,WBHS22,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
E12,BRHS13,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
E13,SHLS29,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
E15,FlFP08,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,Hap_13,A,A2
E16,WBHS34,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
E17,NcMV24,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,NA,NA,NA
E18,CHLS19,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
F02,BBHS11,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
F03,SHLS19,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
F04,FlAM03,Amelia Island,Amelia Island,Florida,Amelia Island,NA,NA,NA,NA
F09,FlAM09,Amelia Island,Amelia Island,Florida,Amelia Island,NA,Hap_22,B,B
F11,NcMV04,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,Hap_1,B,B
F12,BBHS23,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
F13,MaWF10,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,NA,NA,NA
F14,NcMV31,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,Hap_14,B,B
F15,BRLS03,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
F16,CHHS26,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
F17,WBHS25,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
F18,BRHS22,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
G01,WBHS18,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
G02,BRLS02,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
G03,FlSB20,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,Hap_3,A,A1
G04,BBHS08,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
G05,BBHS12,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
G07,BRHS11,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
G08,SHHS24,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
G09,SHLS35,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
G11,BRLS11,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
G12,BBHS13,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
G14,CHLS26,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
G15,NcFR07,North River Estuary,North Carolina,North Carolina,North River Estuary,NA,NA,NA,NA
G16,SHHS26,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
G17,FlAM05,Amelia Island,Amelia Island,Florida,Amelia Island,NA,Hap_1,B,B
G20,NcMV10,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,Hap_1,B,B
H01,CHLS06,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
H02,MaWF01,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,Hap_6,D,D
H03,CHHS08,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
H04,NcMV20,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,Hap_1,B,B
H05,CHLS15,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
H06,WBHS04,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
H07,FlFP10,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,NA,NA,NA
H08,SHHS02,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
H09,NcMV44,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,NA,NA,NA
H10,CHLS08,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
H11,SHLS09,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
H12,FlFP04,Fort Pierce,Fort Pierce,Florida,Fort Pierce,NA,NA,NA,NA
H13,MaWF51,Wellfleet,Massachusetts,Massachusetts,Wellfleet,NA,NA,NA,NA
H14,NcMV21,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,Hap_1,B,B
H15,CHLS28,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
H16,BBHS03,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
H17,CHLS05,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
