"","SSD","MSD","df","sigma2","P.value","Variance coefficients"
"groups",20521.407062037,6840.469020679,3,"313.715054207553","0","12.5547474747475"
"pop",4047.21147813489,269.814098542326,15,"2.58188859476934","0.004995004995005","9.48091212554732"
"Error",50803.4157945921,237.399139227066,214,"237.399139227066",NA,"20.9699570815451"
"Total",75372.034334764,324.8794583395,232,"","",""
